codigo,tipo,cuenta,tipo_catalogo
1142049901,,Intereses y otros por cobrar - ML,4
1142049902,,Intereses y otros por cobrar - ME,4
1142040701,,Préstamos para adquisición de vivienda,4
1142040702,,préstamos para -adquisición de vivienda - ME),4
114205,,PRÉSTAMOS A BANCOS,4
1142050101,,Préstamos convertibles en acciones - ML,4
1142050102,,Préstamos convertibles en acciones - ME,4
1142059901,,Intereses y otros por cobrar - ML,4
1142059902,,Intereses y otros por cobrar - ME,4
114206,,PRÉSTAMOS A OTRAS ENTIDADES DEL SISTEMA,4
1142060101,,Otorgamientos originales - ML,4
1142060102,,Otorgamientos originales - ME,4
1142060201,,Refinanciados - ML,4
1142060202,,Refinanciados - ME,4
1142060301,,Reestructurados - ML,4
1142060302,,Reestructurados - ME,4
1142069901,,Intereses y otros por cobrar - ML,4
1142069902,,Intereses y otros por cobrar - ME,4
114207,,PRÉSTAMOS A AGENCIAS Y SUBSIDIARIAS EN EL EXTRANJERO,4
1142070101,,Otorgamientos originales - ML,4
1142070102,,Otorgamientos originales - ME,4
1142070201,,Refinanciados - ML,4
1142070202,,Refinanciados - ME,4
1142070301,,Reestructurados - ML,4
1142070302,,Reestructurados - ME,4
1142079901,,Intereses y otros por cobrar - ML,4
1142079902,,Intereses y otros por cobrar - ME,4
114208,,PRÉSTAMOS A EMPRESAS NO DOMICILIADAS,4
1142080101,,Otorgamientos originales - ML,4
1142080102,,Otorgamientos originales - ME,4
1142080201,,Refinanciados - ML,4
1142080202,,Refinanciados - ME,4
1142080301,,Reestructurados - ML,4
1142080302,,Reestructurados - ME,4
1142089901,,Intereses y otros por cobrar - ML,4
1142089902,,Intereses y otros por cobrar - ME,4
1148,,PRÉSTAMOS VENCIDOS,4
114802,,PRÉSTAMOS A ENTIDADES DEL ESTADO,4
1148020101,,Otorgamientos originales - ML,4
1148020102,,Otorgamientos originales - ME,4
1148020201,,Refinanciados - ML,4
1148020202,,Refinanciados - ME,4
1148020301,,Reestructurados - ML,4
1148020302,,Reestructurados - ME,4
114803,,PRÉSTAMOS A EMPRESAS PRIVADAS,4
1148030101,,Otorgamientos originales - ML,4
1148030102,,Otorgamientos originales - ME,4
1148030201,,Refinanciados - ML,4
1148030202,,Refinanciados - ME,4
1148030301,,Reestructurados - ML,4
1148030302,,Reestructurados - ME,4
114804,,PRÉSTAMOS A PARTICULARES,4
1148040101,,Otorgamientos originales - ML,4
1148040102,,Otorgamientos originales - ME,4
1148040201,,Refinanciados - ML,4
1148040202,,Refinanciados - ME,4
1148040301,,Reestructurados - ML,4
1148040302,,Reestructurados - ME,4
1148040701,,Préstamos para adquisición de vivienda,4
1148040702,,préstamos para -adquisición de vivienda - ME),4
114805,,PRÉSTAMOS A BANCOS,4
1148050101,,Para cubrir déficit de caja - ML,4
1148050102,,Para cubrir déficit de caja - ME,4
1148050301,,Préstamos convertibles en acciones - ML,4
1148050302,,Préstamos convertibles en acciones - ME,4
114806,,PRÉSTAMOS A OTRAS ENTIDADES DEL SISTEMA,4
1148060101,,Otorgamientos originales - ML,4
1148060102,,Otorgamientos originales - ME,4
1148060201,,Refinanciados - ML,4
1148060202,,Refinanciados - ME,4
1148060301,,Reestructurados - ML,4
1148060302,,Reestructurados - ME,4
114807,,PRÉSTAMOS A AGENCIAS Y SUBSIDIARIAS EN EL EXTRANJERO,4
1148070101,,Otorgamientos originales - ML,4
1148070102,,Otorgamientos originales - ME,4
